Date,Australasia & Oceania,Central America & Caribbean,Central Asia,East Asia,Eastern Europe,Middle East & North Africa,North America,South America,South Asia,Southeast Asia,Sub-Saharan Africa,Western Europe,Sum
1989-11-30,2,24,0,2,0,48,1,90,122,34,17,39,379
1989-12-31,1,16,0,3,0,28,8,79,86,21,21,27,290
1990-01-31,13,10,0,11,4,40,5,76,58,21,16,30,284
1990-02-28,1,16,0,2,2,20,3,81,56,20,18,23,242
1990-03-31,3,52,0,4,7,35,1,170,47,26,20,31,396
1990-04-30,0,16,0,5,4,55,6,92,65,14,52,31,340
1990-05-31,0,54,0,8,2,33,8,126,31,31,80,38,411
1990-06-30,0,37,0,1,9,58,3,106,87,14,34,47,396
1990-07-31,0,12,0,11,4,47,2,91,70,42,58,32,369
1990-08-31,0,28,0,3,9,41,1,62,64,43,66,24,341
1990-09-30,0,12,0,0,1,57,6,51,35,35,63,34,294
1990-10-31,0,18,0,4,12,53,1,105,34,43,17,36,323
1990-11-30,1,31,0,42,4,33,1,53,32,32,18,26,273
1990-12-31,0,31,0,8,0,21,0,63,22,29,8,38,220
1991-01-31,1,67,0,1,2,51,3,98,49,19,9,97,397
1991-02-28,2,16,0,4,3,43,8,131,39,21,25,45,337
1991-03-31,1,27,0,2,6,70,5,44,32,13,25,49,274
1991-04-30,0,33,0,3,4,58,3,78,55,27,22,45,328
1991-05-31,1,80,0,1,7,26,2,116,32,14,25,43,347
1991-06-30,0,62,0,2,11,35,3,114,66,13,6,41,353
1991-07-31,0,97,0,4,26,46,1,169,82,15,10,63,513
1991-08-31,0,83,1,2,13,59,6,111,66,16,8,61,426
1991-09-30,3,52,3,2,1,28,4,169,55,23,21,43,404
1991-10-31,2,129,0,2,1,77,0,118,68,23,50,58,528
1991-11-30,0,55,2,4,5,79,3,113,58,4,36,76,435
1991-12-31,0,27,1,2,5,40,2,61,75,16,35,76,340
1992-01-31,2,33,3,2,3,41,4,110,34,16,37,81,366
1992-02-29,1,16,4,8,4,66,4,58,48,24,48,52,333
1992-03-31,2,15,13,1,18,136,2,87,59,18,86,86,523
1992-04-30,1,22,2,6,11,90,5,60,53,24,47,38,359
1992-05-31,1,25,6,5,8,90,2,122,71,40,54,33,457
1992-06-30,2,7,4,4,5,88,2,61,30,25,36,43,307
1992-07-31,1,10,9,0,7,141,1,86,33,26,38,38,390
1992-08-31,3,12,9,5,7,125,5,39,46,32,52,56,391
1992-09-30,0,12,3,17,8,131,3,101,34,9,39,98,455
1992-10-31,2,29,7,21,8,125,2,121,44,25,48,75,507
1992-11-30,1,12,8,1,7,98,8,212,18,24,62,82,533
1992-12-31,1,19,9,4,5,61,3,147,75,16,22,86,448
1993-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-12-31,0,0,0,0,0,0,1,0,0,0,0,0,1
1994-01-31,1,18,2,0,4,131,20,20,17,3,36,76,328
1994-02-28,0,19,4,3,2,106,2,44,9,11,56,62,318
1994-03-31,5,17,8,4,10,178,10,39,11,14,76,49,421
1994-04-30,0,8,5,3,10,104,8,12,18,15,93,89,365
1994-05-31,0,13,9,1,12,87,6,66,27,13,31,49,314
1994-06-30,1,19,11,2,13,59,5,39,11,18,24,41,243
1994-07-31,0,18,3,1,9,48,5,39,41,11,19,62,256
1994-08-31,0,15,0,2,11,58,2,13,13,8,23,67,212
1994-09-30,3,21,8,5,7,78,7,20,31,17,18,30,245
1994-10-31,3,15,5,2,6,72,14,35,39,16,20,13,240
1994-11-30,1,11,6,3,7,62,8,14,52,11,19,25,219
1994-12-31,0,6,4,8,4,68,16,32,107,14,17,21,297
1995-01-31,0,22,6,7,4,60,12,21,25,7,30,19,213
1995-02-28,0,30,6,0,3,67,12,18,73,11,15,19,254
1995-03-31,0,12,6,7,8,63,9,21,52,11,30,51,270
1995-04-30,0,7,7,2,3,43,10,6,41,12,14,23,168
1995-05-31,0,11,4,7,7,37,8,28,170,22,20,10,324
1995-06-30,3,15,5,3,4,29,6,15,148,27,20,13,288
1995-07-31,2,25,6,4,4,44,4,20,84,21,20,71,305
1995-08-31,5,6,3,1,4,53,8,11,100,10,15,31,247
1995-09-30,4,8,3,0,5,62,3,29,136,12,17,21,300
1995-10-31,4,11,5,3,15,46,6,51,131,10,14,19,315
1995-11-30,0,10,3,0,6,37,7,16,40,7,18,27,171
1995-12-31,0,11,1,4,5,49,6,19,51,18,26,35,225
1996-01-31,3,9,1,2,13,35,9,15,102,11,11,86,297
1996-02-29,1,18,4,1,11,33,4,15,94,9,17,26,233
1996-03-31,0,2,4,5,8,32,3,24,88,16,22,28,232
1996-04-30,0,4,2,5,16,25,8,58,80,17,15,21,251
1996-05-31,0,20,2,3,7,32,4,40,92,20,29,39,288
1996-06-30,2,10,1,2,10,43,7,25,43,12,18,15,188
1996-07-31,1,3,5,52,13,25,18,44,30,17,16,54,278
1996-08-31,2,17,3,5,25,31,20,51,29,6,9,40,238
